model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi0.30Zm2.27T06.0000_iTp0.00_baseFe.fits 1.30 -2.27000 6.00000 0.33140 8.97935 8.26961 8.42818 8.25578 7.96053 7.76878 7.16328 8.11644 7.85910 7.36498 7.40859 8.46302 8.01328 7.42299
Ebi0.30Zm2.27T06.5000_iTp0.00_baseFe.fits 1.30 -2.27000 6.50000 0.33120 9.09168 8.38530 8.51499 8.34036 8.04341 7.85096 7.24158 8.19981 7.94147 7.44650 7.48994 8.54941 8.09637 7.50385
Ebi0.30Zm2.27T07.0000_iTp0.00_baseFe.fits 1.30 -2.27000 7.00000 0.33090 9.18280 8.49105 8.59592 8.41947 8.12126 7.92785 7.31391 8.27787 8.01887 7.52234 7.56539 8.62979 8.17435 7.57893
Ebi0.30Zm2.27T07.5000_iTp0.00_baseFe.fits 1.30 -2.27000 7.50000 0.33070 9.24111 8.56674 8.67009 8.49331 8.19460 8.00043 7.38274 8.35176 8.09209 7.59373 7.63681 8.70407 8.24767 7.65001
Ebi0.30Zm2.27T08.0000_iTp0.00_baseFe.fits 1.30 -2.27000 8.00000 0.33050 9.33548 8.66137 8.75019 8.56862 8.26489 8.06848 7.44600 8.42379 8.16080 7.65869 7.70189 8.78416 8.31866 7.71491
Ebi0.30Zm2.27T08.5000_iTp0.00_baseFe.fits 1.30 -2.27000 8.50000 0.33030 9.40693 8.73628 8.80897 8.62603 8.32113 8.12409 7.49954 8.48042 8.21668 7.71352 7.75657 8.84273 8.37502 7.76957
Ebi0.30Zm2.27T09.0000_iTp0.00_baseFe.fits 1.30 -2.27000 9.00000 0.33020 9.47650 8.80278 8.86523 8.68209 8.37763 8.18129 7.55999 8.53637 8.27336 7.77225 7.81465 8.89865 8.43137 7.82824
Ebi0.30Zm2.27T09.5000_iTp0.00_baseFe.fits 1.30 -2.27000 9.50000 0.33000 9.54776 8.86878 8.91914 8.73612 8.43209 8.23579 7.61375 8.59072 8.32783 7.82685 7.86912 8.95228 8.48568 7.88260
Ebi0.30Zm2.27T10.0000_iTp0.00_baseFe.fits 1.30 -2.27000 10.00000 0.32990 9.61074 8.92798 8.97758 8.79316 8.48769 8.29043 7.66565 8.64705 8.38293 7.88028 7.92261 9.01072 8.54134 7.93570
Ebi0.30Zm2.27T10.5000_iTp0.00_baseFe.fits 1.30 -2.27000 10.50000 0.32980 9.68949 9.00279 9.03517 8.84956 8.54268 8.34430 7.71680 8.70296 8.43748 7.93236 7.97481 9.06830 8.59647 7.98786
Ebi0.30Zm2.27T11.0000_iTp0.00_baseFe.fits 1.30 -2.27000 11.00000 0.32950 9.73713 9.05553 9.09426 8.90631 8.59604 8.39605 7.76572 8.75805 8.48982 7.98134 8.02415 9.12810 8.65034 8.03747
Ebi0.30Zm2.27T11.5000_iTp0.00_baseFe.fits 1.30 -2.27000 11.50000 0.32920 9.79273 9.11355 9.15231 8.96153 8.64767 8.44608 7.81359 8.81143 8.54033 8.02882 8.07193 9.18660 8.70249 8.08559
