model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi1.80Zp0.26T00.3000_iTp0.00_baseFe.fits 1.30 0.26000 0.30000 0.91540 4.56793 4.28255 4.26004 4.18609 4.06401 3.98319 3.65918 4.13487 4.01999 3.79409 3.80104 4.26923 4.08467 3.82059
Ebi1.80Zp0.26T00.3500_iTp0.00_baseFe.fits 1.30 0.26000 0.35000 0.91200 4.76132 4.43236 4.38975 4.30185 4.16224 4.07530 3.73567 4.24009 4.11335 3.87436 3.88349 4.40021 4.18565 3.90343
Ebi1.80Zp0.26T00.4000_iTp0.00_baseFe.fits 1.30 0.26000 0.40000 0.90890 5.05489 4.56853 4.49771 4.40371 4.25593 4.16404 3.81076 4.33812 4.20472 3.95285 3.96385 4.50863 4.28040 3.98427
Ebi1.80Zp0.26T00.4500_iTp0.00_baseFe.fits 1.30 0.26000 0.45000 0.90610 5.27479 4.71502 4.62541 4.51456 4.34537 4.24603 3.87286 4.43688 4.28751 4.01956 4.03275 4.63852 4.37355 4.05349
Ebi1.80Zp0.26T00.5000_iTp0.00_baseFe.fits 1.30 0.26000 0.50000 0.90360 5.46147 4.83486 4.73046 4.60899 4.42580 4.32014 3.93072 4.52431 4.36345 4.08115 4.09657 4.74479 4.45625 4.11717
Ebi1.80Zp0.26T00.6000_iTp0.00_baseFe.fits 1.30 0.26000 0.60000 0.89920 5.77874 5.03552 4.91995 4.77601 4.56648 4.45215 4.03177 4.67604 4.49728 4.19495 4.21455 4.93771 4.60105 4.23534
Ebi1.80Zp0.26T00.7000_iTp0.00_baseFe.fits 1.30 0.26000 0.70000 0.89530 6.04978 5.22913 5.10467 4.93822 4.69714 4.56590 4.10594 4.82428 4.61694 4.27578 4.29955 5.12604 4.73702 4.32180
Ebi1.80Zp0.26T00.8000_iTp0.00_baseFe.fits 1.30 0.26000 0.80000 0.89180 6.28953 5.40346 5.27284 5.08430 4.81015 4.65853 4.15765 4.95751 4.71758 4.33197 4.35924 5.29778 4.85530 4.38273
Ebi1.80Zp0.26T00.9000_iTp0.00_baseFe.fits 1.30 0.26000 0.90000 0.88850 6.47118 5.52679 5.40020 5.19730 4.90323 4.74038 4.21311 5.06321 4.80364 4.39386 4.42424 5.42733 4.95152 4.44767
Ebi1.80Zp0.26T01.0000_iTp0.00_baseFe.fits 1.30 0.26000 1.00000 0.88550 6.62780 5.63410 5.51610 5.29919 4.98751 4.81618 4.26891 5.15731 4.88243 4.45379 4.48716 5.54602 5.03840 4.51082
Ebi1.80Zp0.26T01.2500_iTp0.00_baseFe.fits 1.30 0.26000 1.25000 0.87890 6.97932 5.85872 5.73265 5.47474 5.11310 4.91615 4.30968 5.31178 4.99120 4.51044 4.55050 5.76933 5.17065 4.57575
Ebi1.80Zp0.26T01.5000_iTp0.00_baseFe.fits 1.30 0.26000 1.50000 0.87180 7.29147 6.07048 5.90108 5.60643 5.19887 4.97109 4.26450 5.42843 5.05909 4.51723 4.56250 5.94446 5.26142 4.58472
Ebi1.80Zp0.26T01.7500_iTp0.00_baseFe.fits 1.30 0.26000 1.75000 0.86490 7.60243 6.33632 6.15742 5.85736 5.44543 5.21539 4.50165 5.67663 5.30467 4.75675 4.80176 6.20108 5.50839 4.82508
Ebi1.80Zp0.26T02.0000_iTp0.00_baseFe.fits 1.30 0.26000 2.00000 0.86020 7.83377 6.51437 6.30706 5.99217 5.56557 5.32879 4.59120 5.80443 5.42092 4.85948 4.90587 6.35294 5.63041 4.92920
Ebi1.80Zp0.26T02.2500_iTp0.00_baseFe.fits 1.30 0.26000 2.25000 0.85600 8.05812 6.68442 6.44748 6.12152 5.68339 5.43988 4.68497 5.92872 5.53489 4.96033 5.00791 6.49529 5.74916 5.03109
Ebi1.80Zp0.26T02.5000_iTp0.00_baseFe.fits 1.30 0.26000 2.50000 0.85250 8.22967 6.81692 6.55064 6.21378 5.76390 5.51358 4.74099 6.01676 5.61121 5.02433 5.07346 6.60078 5.83053 5.09600
Ebi1.80Zp0.26T02.7500_iTp0.00_baseFe.fits 1.30 0.26000 2.75000 0.84930 8.40379 6.93790 6.64775 6.30097 5.84025 5.58414 4.79647 6.09990 5.68377 5.08690 5.13726 6.70012 5.90790 5.15923
Ebi1.80Zp0.26T03.0000_iTp0.00_baseFe.fits 1.30 0.26000 3.00000 0.84630 8.56263 7.03793 6.73415 6.38173 5.91476 5.65460 4.85510 6.17929 5.75578 5.15167 5.20285 6.78772 5.98281 5.22419
Ebi1.80Zp0.26T03.2500_iTp0.00_baseFe.fits 1.30 0.26000 3.25000 0.84360 8.69564 7.14758 6.85286 6.50354 6.04013 5.78197 4.99168 6.30311 5.88206 5.28117 5.33239 6.90558 6.10745 5.35468
Ebi1.80Zp0.26T03.5000_iTp0.00_baseFe.fits 1.30 0.26000 3.50000 0.84140 8.81275 7.22676 6.91243 6.55844 6.09024 5.82918 5.03191 6.35586 5.93051 5.32402 5.37569 6.96611 6.15786 5.39818
Ebi1.80Zp0.26T03.7500_iTp0.00_baseFe.fits 1.30 0.26000 3.75000 0.83940 8.90774 7.30378 6.97073 6.61131 6.13765 5.87361 5.07036 6.40631 5.97619 5.36415 5.41628 7.02552 6.20567 5.43906
Ebi1.80Zp0.26T04.0000_iTp0.00_baseFe.fits 1.30 0.26000 4.00000 0.83750 9.02390 7.37936 7.02885 6.66290 6.18274 5.91545 5.10651 6.45526 6.01911 5.40147 5.45420 7.08490 6.25131 5.47708
Ebi1.80Zp0.26T04.5000_iTp0.00_baseFe.fits 1.30 0.26000 4.50000 0.83400 9.23518 7.50509 7.12729 6.75543 6.26894 5.99761 5.17855 6.54528 6.10296 5.47758 5.53079 7.18478 6.33785 5.55412
Ebi1.80Zp0.26T05.0000_iTp0.00_baseFe.fits 1.30 0.26000 5.00000 0.83090 9.37295 7.60670 7.21600 6.83867 6.34626 6.07207 5.24578 6.62694 6.17782 5.54823 5.60204 7.27473 6.41571 5.62497
Ebi1.80Zp0.26T05.5000_iTp0.00_baseFe.fits 1.30 0.26000 5.50000 0.82810 9.41840 7.65469 7.27048 6.89684 6.40789 6.13458 5.31160 6.68710 6.24039 5.61147 5.66522 7.32844 6.47664 5.68865
Ebi1.80Zp0.26T06.0000_iTp0.00_baseFe.fits 1.30 0.26000 6.00000 0.82560 9.57824 7.75969 7.35409 6.97345 6.47724 6.20047 5.36845 6.76093 6.30686 5.67245 5.72667 7.41358 6.54673 5.75007
Ebi1.80Zp0.26T06.5000_iTp0.00_baseFe.fits 1.30 0.26000 6.50000 0.82340 9.69153 7.85951 7.42769 7.04199 6.54065 6.26088 5.42213 6.82801 6.36834 5.72862 5.78328 7.48819 6.61043 5.80680
Ebi1.80Zp0.26T07.0000_iTp0.00_baseFe.fits 1.30 0.26000 7.00000 0.82130 9.80984 7.95562 7.49767 7.10686 6.60079 6.31852 5.47538 6.89116 6.42685 5.78251 5.83749 7.55905 6.67085 5.86150
Ebi1.80Zp0.26T07.5000_iTp0.00_baseFe.fits 1.30 0.26000 7.50000 0.81940 9.90907 8.02387 7.55463 7.16113 6.65230 6.36841 5.52100 6.94461 6.47719 5.82981 5.88497 7.61663 6.72246 5.90954
Ebi1.80Zp0.26T08.0000_iTp0.00_baseFe.fits 1.30 0.26000 8.00000 0.81770 9.99974 8.10047 7.60912 7.21177 6.69901 6.41268 5.55996 6.99476 6.52217 5.87077 5.92638 7.67176 6.76935 5.95070
Ebi1.80Zp0.26T08.5000_iTp0.00_baseFe.fits 1.30 0.26000 8.50000 0.81600 10.08161 8.15887 7.65806 7.25916 6.74408 6.45574 5.59818 7.04250 6.56585 5.91130 5.96711 7.72095 6.81450 5.99107
Ebi1.80Zp0.26T09.0000_iTp0.00_baseFe.fits 1.30 0.26000 9.00000 0.81450 10.17499 8.22562 7.70933 7.30698 6.78825 6.49776 5.63568 7.08960 6.60843 5.95037 6.00663 7.77301 6.85884 6.03048
Ebi1.80Zp0.26T09.5000_iTp0.00_baseFe.fits 1.30 0.26000 9.50000 0.81300 10.26024 8.29443 7.75949 7.35373 6.83136 6.53867 5.67248 7.13557 6.65001 5.98833 6.04488 7.82397 6.90212 6.06880
Ebi1.80Zp0.26T10.0000_iTp0.00_baseFe.fits 1.30 0.26000 10.00000 0.81170 10.34077 8.35723 7.80588 7.39682 6.87122 6.57690 5.70747 7.17746 6.68883 6.02428 6.08107 7.87136 6.94215 6.10525
Ebi1.80Zp0.26T10.5000_iTp0.00_baseFe.fits 1.30 0.26000 10.50000 0.81040 10.41305 8.41482 7.84658 7.43356 6.90413 6.60792 5.73451 7.21222 6.72064 6.05255 6.10950 7.91334 6.97534 6.13414
Ebi1.80Zp0.26T11.0000_iTp0.00_baseFe.fits 1.30 0.26000 11.00000 0.80920 10.47507 8.46841 7.88804 7.47196 6.93933 6.64069 5.75965 7.24962 6.75447 6.08086 6.13811 7.95561 7.01070 6.16336
Ebi1.80Zp0.26T11.5000_iTp0.00_baseFe.fits 1.30 0.26000 11.50000 0.80800 10.54017 8.52357 7.92801 7.50842 6.97221 6.67164 5.78693 7.28464 6.78608 6.10894 6.16651 7.99667 7.04376 6.19222
Ebi1.80Zp0.26T12.0000_iTp0.00_baseFe.fits 1.30 0.26000 12.00000 0.80690 10.60556 8.57127 7.96559 7.54319 7.00410 6.70193 5.81375 7.31834 6.81698 6.13689 6.19460 8.03506 7.07583 6.22065
Ebi1.80Zp0.26T12.5000_iTp0.00_baseFe.fits 1.30 0.26000 12.50000 0.80580 10.66330 8.61792 8.00195 7.57685 7.03507 6.73151 5.84012 7.35071 6.84710 6.16435 6.22221 8.07238 7.10696 6.24868
Ebi1.80Zp0.26T13.0000_iTp0.00_baseFe.fits 1.30 0.26000 13.00000 0.80480 10.72825 8.66526 8.03814 7.61018 7.06542 6.76022 5.86552 7.38307 6.87634 6.19086 6.24892 8.10947 7.13746 6.27554
Ebi1.80Zp0.26T13.5000_iTp0.00_baseFe.fits 1.30 0.26000 13.50000 0.80380 10.78740 8.71375 8.07338 7.64269 7.09502 6.78817 5.89003 7.41471 6.90478 6.21641 6.27464 8.14551 7.16723 6.30152
Ebi1.80Zp0.26T14.0000_iTp0.00_baseFe.fits 1.30 0.26000 14.00000 0.80280 10.84197 8.75660 8.10313 7.66946 7.11859 6.80970 5.90679 7.44057 6.92705 6.23516 6.29364 8.17612 7.19096 6.32049
Ebi1.80Zp0.40T00.0300_iTp0.00_baseFe.fits 1.30 0.40000 0.03000 0.95940 2.01580 2.31457 3.09658 3.10376 3.05267 2.97229 2.52595 3.12718 3.02191 2.73278 2.76587 3.11954 3.06295 2.78957
Ebi1.80Zp0.40T00.0400_iTp0.00_baseFe.fits 1.30 0.40000 0.04000 0.95430 2.31799 2.54436 3.23293 3.23212 3.17323 3.09609 2.69966 3.24591 3.14103 2.87096 2.90106 3.25459 3.18461 2.92710
Ebi1.80Zp0.40T00.0500_iTp0.00_baseFe.fits 1.30 0.40000 0.05000 0.95030 2.58752 2.72465 3.33478 3.32830 3.26600 3.19283 2.82266 3.33565 3.23443 2.98035 3.00714 3.35491 3.27828 3.03381
Ebi1.80Zp0.40T00.0600_iTp0.00_baseFe.fits 1.30 0.40000 0.06000 0.95030 2.76141 2.85525 3.41131 3.39976 3.33342 3.25917 2.89088 3.40181 3.30081 3.04745 3.07261 3.43014 3.34600 3.09721
Ebi1.80Zp0.40T00.0700_iTp0.00_baseFe.fits 1.30 0.40000 0.07000 0.94420 2.90146 2.97254 3.47704 3.46213 3.39535 3.32425 2.96984 3.46083 3.36421 3.12000 3.14305 3.49457 3.40830 3.16774
Ebi1.80Zp0.40T00.0800_iTp0.00_baseFe.fits 1.30 0.40000 0.08000 0.94420 3.03798 3.06981 3.53615 3.51654 3.44568 3.37490 3.02445 3.51092 3.41417 3.17369 3.19513 3.55307 3.45943 3.21887
Ebi1.80Zp0.40T00.0900_iTp0.00_baseFe.fits 1.30 0.40000 0.09000 0.94180 3.16311 3.17008 3.59279 3.57046 3.49734 3.42624 3.07965 3.56257 3.46500 3.22701 3.24704 3.60897 3.51116 3.27129
Ebi1.80Zp0.40T00.1000_iTp0.00_baseFe.fits 1.30 0.40000 0.10000 0.93770 3.30012 3.26538 3.64815 3.62387 3.55073 3.48243 3.15448 3.61358 3.51923 3.29309 3.31103 3.66334 3.56453 3.33448
Ebi1.80Zp0.40T00.1500_iTp0.00_baseFe.fits 1.30 0.40000 0.15000 0.92990 3.73503 3.65149 3.85728 3.82063 3.73930 3.67224 3.36862 3.79973 3.70612 3.49790 3.50883 3.86879 3.75387 3.52994
Ebi1.80Zp0.40T00.2000_iTp0.00_baseFe.fits 1.30 0.40000 0.20000 0.92400 4.10349 3.95557 4.03361 3.98173 3.88482 3.81315 3.50628 3.94626 3.84674 3.63804 3.64492 4.04316 3.90142 3.66417
Ebi1.80Zp0.40T00.2500_iTp0.00_baseFe.fits 1.30 0.40000 0.25000 0.91930 4.31466 4.12701 4.18064 4.11690 4.00526 3.92607 3.60409 4.07384 3.96273 3.73925 3.74568 4.19083 4.02375 3.76415
Ebi1.80Zp0.40T00.3000_iTp0.00_baseFe.fits 1.30 0.40000 0.30000 0.91540 4.57623 4.34949 4.32454 4.24550 4.11460 4.02814 3.68872 4.19205 4.06608 3.82858 3.83736 4.33490 4.13634 3.85519
Ebi1.80Zp0.40T00.3500_iTp0.00_baseFe.fits 1.30 0.40000 0.35000 0.91200 4.84125 4.50945 4.47170 4.37391 4.21827 4.12263 3.76068 4.30581 4.16241 3.90418 3.91603 4.48456 4.24404 3.93514
Ebi1.80Zp0.40T00.4000_iTp0.00_baseFe.fits 1.30 0.40000 0.40000 0.90900 5.09163 4.68380 4.62296 4.50444 4.32035 4.21173 3.82600 4.42254 4.25531 3.96913 3.98434 4.63864 4.35083 4.00341
Ebi1.80Zp0.40T00.4500_iTp0.00_baseFe.fits 1.30 0.40000 0.45000 0.90630 5.29280 4.82492 4.74186 4.61006 4.40979 4.29431 3.89234 4.51979 4.34024 4.03901 4.05614 4.75909 4.44271 4.07512
Ebi1.80Zp0.40T00.5000_iTp0.00_baseFe.fits 1.30 0.40000 0.50000 0.90380 5.62106 4.97888 4.85091 4.70676 4.49226 4.37110 3.95313 4.60837 4.41855 4.10516 4.12382 4.86915 4.52728 4.14300
Ebi1.80Zp0.40T00.6000_iTp0.00_baseFe.fits 1.30 0.40000 0.60000 0.89950 5.96759 5.20491 5.04818 4.88182 4.64086 4.50896 4.05605 4.76887 4.55970 4.21957 4.24260 5.06985 4.68009 4.26339
Ebi1.80Zp0.40T00.7000_iTp0.00_baseFe.fits 1.30 0.40000 0.70000 0.89560 6.12016 5.38387 5.23794 5.04955 4.77638 4.62581 4.13307 4.92331 4.68370 4.30136 4.32912 5.26376 4.82071 4.35128
Ebi1.80Zp0.40T00.8000_iTp0.00_baseFe.fits 1.30 0.40000 0.80000 0.89210 6.27876 5.51908 5.38684 5.18297 4.88850 4.72584 4.20436 5.04822 4.78861 4.37867 4.41020 5.41523 4.93618 4.43274
Ebi1.80Zp0.40T00.9000_iTp0.00_baseFe.fits 1.30 0.40000 0.90000 0.88900 6.47667 5.65773 5.51764 5.29778 4.98323 4.80979 4.26244 5.15485 4.87676 4.44287 4.47785 5.54850 5.03374 4.50079
Ebi1.80Zp0.40T01.0000_iTp0.00_baseFe.fits 1.30 0.40000 1.00000 0.88610 6.65270 5.78249 5.62743 5.39513 5.06552 4.88370 4.31515 5.24674 4.95380 4.50262 4.54006 5.65966 5.11795 4.56262
Ebi1.80Zp0.40T01.2500_iTp0.00_baseFe.fits 1.30 0.40000 1.25000 0.87960 7.01264 6.02991 5.84981 5.58418 5.21493 5.01161 4.39040 5.42011 5.08981 4.59455 4.63720 5.88720 5.27247 4.66001
Ebi1.80Zp0.40T01.5000_iTp0.00_baseFe.fits 1.30 0.40000 1.50000 0.87330 7.27885 6.24423 6.00650 5.70351 5.28782 5.05392 4.33854 5.52390 5.14475 4.58930 4.63674 6.05126 5.35053 4.65755
Ebi1.80Zp0.40T01.7500_iTp0.00_baseFe.fits 1.30 0.40000 1.75000 0.86630 7.47901 6.45594 6.24845 5.94221 5.52424 5.28848 4.55805 5.76289 5.38042 4.81964 4.86710 6.29296 5.58712 4.88854
Ebi1.80Zp0.40T02.0000_iTp0.00_baseFe.fits 1.30 0.40000 2.00000 0.86160 7.76756 6.64983 6.39463 6.07526 5.64473 5.40201 4.64413 5.89046 5.49713 4.92161 4.97022 6.44089 5.70885 4.99205
Ebi1.80Zp0.40T02.2500_iTp0.00_baseFe.fits 1.30 0.40000 2.25000 0.85750 8.23232 6.83922 6.53151 6.20030 5.75793 5.50811 4.72809 6.01168 5.60620 5.01719 5.06707 6.57939 5.82298 5.08857
Ebi1.80Zp0.40T02.5000_iTp0.00_baseFe.fits 1.30 0.40000 2.50000 0.85390 8.39639 6.96227 6.64541 6.30517 5.85272 5.59723 4.80250 6.11238 5.69765 5.09789 5.14876 6.69547 5.91886 5.17009
Ebi1.80Zp0.40T02.7500_iTp0.00_baseFe.fits 1.30 0.40000 2.75000 0.85060 8.54289 7.09630 6.74623 6.39455 5.93010 5.66770 4.85719 6.19759 5.77072 5.15869 5.21077 6.79854 5.99718 5.23179
Ebi1.80Zp0.40T03.0000_iTp0.00_baseFe.fits 1.30 0.40000 3.00000 0.84770 8.72614 7.20893 6.83536 6.47549 6.00224 5.73440 4.91005 6.27569 5.83961 5.21799 5.27087 6.88936 6.07003 5.29120
Ebi1.80Zp0.40T03.2500_iTp0.00_baseFe.fits 1.30 0.40000 3.25000 0.84490 8.72142 7.30343 6.93616 6.57625 6.10299 5.83544 5.01470 6.37682 5.94013 5.31914 5.37218 6.99009 6.17055 5.39320
Ebi1.80Zp0.40T03.5000_iTp0.00_baseFe.fits 1.30 0.40000 3.50000 0.84260 8.92378 7.41121 7.02784 6.66549 6.18967 5.92094 5.09978 6.46523 6.02571 5.40300 5.45637 7.08225 6.25726 5.47757
Ebi1.80Zp0.40T03.7500_iTp0.00_baseFe.fits 1.30 0.40000 3.75000 0.84050 9.17423 7.48587 7.08557 6.71806 6.23720 5.96603 5.13902 6.51546 6.07168 5.44433 5.49815 7.14109 6.30530 5.51970
Ebi1.80Zp0.40T04.0000_iTp0.00_baseFe.fits 1.30 0.40000 4.00000 0.83870 9.27340 7.56469 7.14188 6.76863 6.28224 6.00816 5.17518 6.56422 6.11485 5.48262 5.53700 7.19844 6.35074 5.55834
Ebi1.80Zp0.40T04.5000_iTp0.00_baseFe.fits 1.30 0.40000 4.50000 0.83440 9.50389 7.74429 7.27405 6.89042 6.39265 6.11142 5.26140 6.68243 6.22092 5.57623 5.63143 7.33315 6.46196 5.65258
Ebi1.80Zp0.40T05.0000_iTp0.00_baseFe.fits 1.30 0.40000 5.00000 0.83210 9.27555 7.71849 7.31429 6.94296 6.45452 6.17606 5.33024 6.74017 6.28459 5.64436 5.69907 7.37221 6.52254 5.72039
Ebi1.80Zp0.40T05.5000_iTp0.00_baseFe.fits 1.30 0.40000 5.50000 0.82920 9.58826 7.82308 7.36745 6.98706 6.49242 6.21288 5.36817 6.78071 6.32137 5.67929 5.73449 7.42604 6.56113 5.75646
Ebi1.80Zp0.40T06.0000_iTp0.00_baseFe.fits 1.30 0.40000 6.00000 0.82680 9.73258 7.92297 7.44929 7.06287 6.56221 6.27937 5.42764 6.85422 6.38912 5.74096 5.79669 7.50924 6.63136 5.81902
Ebi1.80Zp0.40T06.5000_iTp0.00_baseFe.fits 1.30 0.40000 6.50000 0.82450 9.86917 8.01565 7.52445 7.13272 6.62659 6.34054 5.48114 6.92234 6.45157 5.79777 5.85393 7.58549 6.69613 5.87635
Ebi1.80Zp0.40T07.0000_iTp0.00_baseFe.fits 1.30 0.40000 7.00000 0.82240 10.02644 8.12709 7.59572 7.19821 6.68668 6.39771 5.53108 6.98653 6.50944 5.85084 5.90745 7.65781 6.75651 5.92989
Ebi1.80Zp0.40T07.5000_iTp0.00_baseFe.fits 1.30 0.40000 7.50000 0.82040 10.12425 8.21108 7.66704 7.26595 6.75133 6.46117 5.59194 7.05307 6.57312 5.91219 5.96920 7.72987 6.82132 5.99218
Ebi1.80Zp0.40T08.0000_iTp0.00_baseFe.fits 1.30 0.40000 8.00000 0.81870 10.22119 8.27843 7.72316 7.31790 6.79898 6.50648 5.63235 7.10332 6.61928 5.95420 6.01151 7.78713 6.86925 6.03483
Ebi1.80Zp0.40T08.5000_iTp0.00_baseFe.fits 1.30 0.40000 8.50000 0.81700 10.31710 8.34419 7.77705 7.36806 6.84509 6.54990 5.67025 7.15280 6.66371 5.99420 6.05187 7.84173 6.91557 6.07489
Ebi1.80Zp0.40T09.0000_iTp0.00_baseFe.fits 1.30 0.40000 9.00000 0.81550 10.43135 8.41747 7.82877 7.41632 6.88970 6.59213 5.70691 7.20035 6.70680 6.03330 6.09135 7.89437 6.96032 6.11412
Ebi1.80Zp0.40T09.5000_iTp0.00_baseFe.fits 1.30 0.40000 9.50000 0.81410 10.52827 8.48654 7.87887 7.46319 6.93324 6.63376 5.74390 7.24640 6.74897 6.07216 6.13056 7.94541 7.00401 6.15350
Ebi1.80Zp0.40T10.0000_iTp0.00_baseFe.fits 1.30 0.40000 10.00000 0.81270 10.60881 8.55236 7.92802 7.50922 6.97589 6.67433 5.78022 7.29144 6.79027 6.11002 6.16873 7.99562 7.04677 6.19168
Ebi1.80Zp0.40T10.5000_iTp0.00_baseFe.fits 1.30 0.40000 10.50000 0.81140 10.68357 8.61395 7.97480 7.55311 7.01654 6.71296 5.81490 7.33446 6.82958 6.14590 6.20485 8.04336 7.08755 6.22787
Ebi1.80Zp0.40T11.0000_iTp0.00_baseFe.fits 1.30 0.40000 11.00000 0.81020 10.75120 8.66556 8.00965 7.58488 7.04506 6.73929 5.83598 7.36531 6.85681 6.16914 6.22832 8.07913 7.11625 6.25137
Ebi1.80Zp0.40T11.5000_iTp0.00_baseFe.fits 1.30 0.40000 11.50000 0.80900 10.82011 8.72016 8.04960 7.62184 7.07883 6.77144 5.86496 7.40109 6.88939 6.19915 6.25850 8.12008 7.15021 6.28180
Ebi1.80Zp0.40T12.0000_iTp0.00_baseFe.fits 1.30 0.40000 12.00000 0.80790 10.88609 8.77276 8.08804 7.65754 7.11162 6.80260 5.89233 7.43585 6.92100 6.22795 6.28749 8.15940 7.18318 6.31101
Ebi1.80Zp0.40T12.5000_iTp0.00_baseFe.fits 1.30 0.40000 12.50000 0.80680 10.94218 8.81966 8.12501 7.69210 7.14349 6.83286 5.91897 7.46971 6.95169 6.25590 6.31562 8.19726 7.21514 6.33942
Ebi1.80Zp0.40T13.0000_iTp0.00_baseFe.fits 1.30 0.40000 13.00000 0.80580 11.00519 8.86871 8.16099 7.72574 7.17459 6.86254 5.94530 7.50265 6.98175 6.28354 6.34340 8.23397 7.24640 6.36745
Ebi1.80Zp0.40T13.5000_iTp0.00_baseFe.fits 1.30 0.40000 13.50000 0.80480 11.06294 8.91609 8.19627 7.75874 7.20500 6.89123 5.97062 7.53529 7.01093 6.30988 6.37004 8.27015 7.27679 6.39420
Ebi1.80Zp0.40T14.0000_iTp0.00_baseFe.fits 1.30 0.40000 14.00000 0.80380 11.10374 8.95272 8.22839 7.78983 7.23457 6.91960 5.99592 7.56642 7.03964 6.33658 6.39693 8.30280 7.30630 6.42118
Ebi2.00Zm2.27T00.0300_iTp0.00_baseFe.fits 1.30 -2.27000 0.03000 0.97920 1.72592 2.23893 3.39831 3.47861 3.55171 3.57301 3.64611 3.55692 3.58367 3.53275 3.57306 3.42393 3.54278 3.62191
Ebi2.00Zm2.27T00.0400_iTp0.00_baseFe.fits 1.30 -2.27000 0.04000 0.97550 1.92022 2.39818 3.48111 3.55325 3.61614 3.63145 3.67642 3.62444 3.64330 3.58548 3.61992 3.50479 3.60886 3.66569
Ebi2.00Zm2.27T00.0500_iTp0.00_baseFe.fits 1.30 -2.27000 0.05000 0.97250 2.06430 2.51924 3.55159 3.61841 3.67395 3.68462 3.70868 3.68440 3.69767 3.63275 3.66315 3.57426 3.66795 3.70790
Ebi2.00Zm2.27T00.0600_iTp0.00_baseFe.fits 1.30 -2.27000 0.06000 0.97250 2.17679 2.61276 3.59514 3.65644 3.70476 3.71124 3.71757 3.71723 3.72534 3.65427 3.68119 3.61677 3.69995 3.72472
Ebi2.00Zm2.27T00.0700_iTp0.00_baseFe.fits 1.30 -2.27000 0.07000 0.96790 2.26226 2.69134 3.64646 3.70155 3.73904 3.73773 3.71304 3.75647 3.75479 3.66468 3.69141 3.66791 3.73619 3.73344
Ebi2.00Zm2.27T00.0800_iTp0.00_baseFe.fits 1.30 -2.27000 0.08000 0.96790 2.33268 2.75002 3.66261 3.70687 3.72434 3.70693 3.60972 3.75196 3.73061 3.60040 3.62802 3.68404 3.72494 3.66569
Ebi2.00Zm2.27T00.0900_iTp0.00_baseFe.fits 1.30 -2.27000 0.09000 0.96600 2.38748 2.79754 3.67200 3.70437 3.69932 3.66235 3.47124 3.73893 3.69524 3.51590 3.54474 3.69372 3.70373 3.57707
Ebi2.00Zm2.27T00.1000_iTp0.00_baseFe.fits 1.30 -2.27000 0.10000 0.96280 2.42186 2.79518 3.58854 3.60129 3.56153 3.49673 3.16980 3.62006 3.54300 3.29698 3.32649 3.61086 3.57207 3.35306
Ebi2.00Zm2.27T00.1500_iTp0.00_baseFe.fits 1.30 -2.27000 0.15000 0.95310 2.77210 3.08670 3.79294 3.78663 3.71760 3.63452 3.25539 3.78683 3.68765 3.40378 3.43378 3.81484 3.73302 3.45645
Ebi2.00Zm2.27T00.2000_iTp0.00_baseFe.fits 1.30 -2.27000 0.20000 0.94680 2.94631 3.21893 3.86461 3.85074 3.77240 3.68487 3.29058 3.84383 3.73932 3.44849 3.47754 3.88579 3.78933 3.49833
Ebi2.00Zm2.27T00.2500_iTp0.00_baseFe.fits 1.30 -2.27000 0.25000 0.94150 3.15972 3.34157 3.92995 3.91082 3.82575 3.73440 3.32765 3.89888 3.79011 3.49279 3.52086 3.95063 3.84370 3.54039
Ebi2.00Zm2.27T00.3000_iTp0.00_baseFe.fits 1.30 -2.27000 0.30000 0.93680 3.29333 3.45297 3.99547 3.97269 3.88386 3.79226 3.38894 3.95726 3.84709 3.55192 3.57878 4.01561 3.90251 3.59859
Ebi2.00Zm2.27T00.3500_iTp0.00_baseFe.fits 1.30 -2.27000 0.35000 0.93270 3.40384 3.54059 4.04320 4.01447 3.91918 3.82578 3.41854 3.99403 3.88038 3.58512 3.61067 4.06268 3.93885 3.62924
Ebi2.00Zm2.27T00.4000_iTp0.00_baseFe.fits 1.30 -2.27000 0.40000 0.92900 3.50318 3.62273 4.09134 4.05787 3.95762 3.86269 3.45351 4.03338 3.91731 3.62130 3.64564 4.11020 3.97805 3.66410
Ebi2.00Zm2.27T00.4500_iTp0.00_baseFe.fits 1.30 -2.27000 0.45000 0.92550 3.59959 3.69871 4.13304 4.09735 3.99682 3.90306 3.50091 4.07090 3.95646 3.66669 3.68866 4.15067 4.01699 3.70746
Ebi2.00Zm2.27T00.5000_iTp0.00_baseFe.fits 1.30 -2.27000 0.50000 0.92250 3.65021 3.74158 4.16502 4.12660 4.02410 3.92824 3.50895 4.09764 3.98290 3.69002 3.71088 4.18187 4.04416 3.72659
Ebi2.00Zm2.27T00.6000_iTp0.00_baseFe.fits 1.30 -2.27000 0.60000 0.91700 3.81657 3.87080 4.24726 4.20118 4.09094 3.99283 3.57084 4.16523 4.04753 3.75295 3.77269 4.26295 4.11232 3.78804
