wave NSC_spec NSC_spec_var
4773.93 1203.68 26.141296811495913
4775.18 1189.25 25.56356007685401
4776.43 1163.1 24.900981401486266
4777.68 1178.87 25.31787314562639
4778.93 1164.77 24.83268610883494
4780.18 1170.24 25.14012840912747
4781.43 1165.62 25.236576419445896
4782.68 1177.1 25.754330381323875
4783.93 1154.24 25.335484179842304
4785.18 1114.92 24.60015757658334
4786.43 1119.54 24.608193053392473
4787.68 1091.35 24.568736599101346
4788.93 1098.03 24.74362695316742
4790.18 1128.35 25.30221323382596
4791.43 1154.36 25.906240335464737
4792.68 1144.2 26.027518596977544
4793.93 1153.83 26.45446757937772
4795.18 1181.41 26.761931486379357
4796.43 1185.51 27.207047583180863
4797.68 1188.6 27.069656816815428
4798.93 1197.31 27.48007932105358
4800.18 1200.88 27.701050864028446
4801.43 1195.39 27.119645034547265
4802.68 1184.3 26.776360047952334
4803.93 1158.22 26.170285179161045
4805.18 1155.4 25.91371504658824
4806.43 1154.67 25.89309531452187
4807.68 1149.81 25.926221505822703
4808.93 1154.09 25.950452159171448
4810.18 1133.55 25.45673975200544
4811.43 1140.43 25.584030257649736
4812.68 1155.49 25.888138347454742
4813.93 1164.49 26.093403724903972
4815.18 1188.95 26.35268783589049
4816.43 1207.01 26.531187793094027
4817.68 1228.96 26.724726600543626
4818.93 1220.26 26.492384976343242
4820.18 1206.53 25.86433948133183
4821.43 1185.98 25.04824685029336
4822.68 1191.89 24.889826189797336
4823.93 1192.81 24.808147180670638
4825.18 1209.51 25.25964164457277
4826.43 1220.44 25.03060900986539
4827.68 1204.27 24.584214727292565
4828.93 1175.84 23.659626133058914
4830.18 1181.43 23.940836282170896
4831.43 1175.99 23.74888539411222
4832.68 1176.37 23.825368582072922
4833.93 1201.07 24.389408053047646
4835.18 1194.54 24.419431461549088
4836.43 1204.97 24.498750328139543
4837.68 1219.13 24.924912854881132
4838.93 1227.28 25.146560653487438
4840.18 1230.93 25.32555510499417
4841.43 1239.62 25.626763975367957
4842.68 1233.08 25.871107212943766
4843.93 1227.37 25.65120582806281
4845.18 1204.85 25.07446852435138
4846.43 1189.67 24.77917037427997
4847.68 1183.97 24.9201004862205
4848.93 1199.88 25.54215375062297
4850.18 1205.45 25.37440169617152
4851.43 1199.19 25.442481263120797
4852.68 1183.56 25.248316411047742
4853.93 1170.69 25.06720520015633
4855.18 1181.53 25.200841075444743
4856.43 1185.61 25.602854612068413
4857.68 1196.66 26.01919172084196
4858.93 1192.33 25.975683408012674
4860.18 1188.66 26.032642981340757
4861.43 1177.8 25.63636216603464
4862.68 1166.52 25.31220442392465
4863.93 1169.85 25.08669293974218
4865.18 1167.46 25.078898044329513
4866.43 1177.68 25.065808049136127
4867.68 1181.77 25.09734875582329
4868.93 1199.52 25.14904028730272
4870.18 1212.15 25.56403974647854
4871.43 1195.58 24.992548835610435
4872.68 1205.25 24.74263890551644
4873.93 1203.91 24.481662376983234
4875.18 1176.24 23.531139956433517
4876.43 1173.7 23.5244365295573
4877.68 1147.3 22.383222353974386
4878.93 1116.65 21.43454402867895
4880.18 1110.49 21.107403003462792
4881.43 1061.87 19.94055806409861
4882.68 1002.1 18.508533710926592
4883.93 974.4 17.744666237009906
4885.18 969.4 17.55412009569943
4886.43 995.47 18.036724068788875
4887.68 1046.95 19.591860158087293
4888.93 1088.92 20.513867931795875
4890.18 1116.65 21.12258191748305
4891.43 1118.08 21.055396879275683
4892.68 1099.32 20.90373557760822
4893.93 1082.19 20.65280287953248
4895.18 1077.72 20.814929370477202
4896.43 1098.95 21.15226406107707
4897.68 1129.07 21.940755994629125
4898.93 1137.12 22.56503954570743
4900.18 1179.11 23.557107916585526
4901.43 1180.93 23.89219440514872
